Symbol,Timeframe,Candles,Time (s),Return %,Sharpe,Max DD %,Trades,Win Rate %,Profit Factor,Pivots
BTCUSDT,1m,1051200,1.08,14250.99,2.75,3.12,6696,63.9,3.18,17734
BTCUSDT,5m,210240,0.26,12342.88,5.5,3.33,5380,63.6,3.29,14158
BTCUSDT,15m,70080,0.1,8728.02,8.78,2.08,3510,63.5,3.38,9142
BTCUSDT,1h,17520,0.03,3692.88,13.25,2.3,1209,63.2,3.7,3140
BTCUSDT,4h,4380,0.01,455.71,20.66,1.24,288,64.6,4.24,786
BTCUSDT,1d,730,0.0,20.04,17.87,0.0,45,62.2,3.12,126
ETHUSDT,1m,1051200,1.14,29557.8,3.11,3.04,12238,64.9,3.35,32034
ETHUSDT,5m,210240,0.33,23051.38,5.82,2.0,8640,64.4,3.42,22426
ETHUSDT,15m,70080,0.12,13727.64,8.99,2.19,4495,63.5,3.47,11678
ETHUSDT,1h,17520,0.03,4525.42,15.03,2.25,1234,63.0,3.72,3155
ETHUSDT,4h,4380,0.01,627.42,19.86,2.62,324,63.3,4.4,785
ETHUSDT,1d,730,0.0,28.04,20.7,0.0,44,61.4,4.19,116
